symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score
BTC,bitcoin,#f7931a,B,1.52,0.56,0.94,0.86,1.88,1.96,2.16,1.55,0.97,1.89,0.92,0,lending-market equivalent yield,store_of_value,897177544783.0,988023838812.0,988023838812.0,1192637279810.0,32.93,4301.4,3706.01,3706.01,3770.73,-13.84,1.75,71.06,74.52,88226.05,108786.99,23.3,3666168.0,38428955.0,550211596146.0,19759563.0,2.08,3.76,-20.54,-49.57,0.849,2.389,1.359,1.247,0.437,0.493,74.0,22.17,88.82,3.5,0.784,-4.01,1.53,0,2.536,0.31,6.41
ETH,ethereum,#627eea,E,3.53,2.9,3.2,3.66,3.38,3.74,4.43,4.45,3.32,4.0,0.68,0,native validator staking,layer1,309042691735.0,398120355232.0,398120355232.0,526468515247.0,70.35,1732.48,1411.7,1411.7,1952.59,-18.52,38.31,56.81,63.78,18504.65,50616.43,173.53,2517353.0,5910752.0,132816987597.0,15252789.0,8.2,3.21,-60.84,-23.9,0.76,2.757,1.071,1.07,0.316,0.478,31.4,-13.04,72.75,3.14,-0.244,3.09,4.62,1,6.272,0.22,7.88
SOL,solana,#14f195,S,6.7,7.29,7.65,6.36,7.82,7.84,7.56,7.49,7.0,7.68,0.68,0,delegated PoS with MEV,layer1,68533951485.0,79727961836.0,79727961836.0,93606830621.0,36.58,1408.48,1912.26,1912.26,3041.3,35.77,59.04,67.74,74.78,5960.77,5615.62,-5.79,4009020.0,25144791.0,28042014966.0,17804552.0,5.36,2.32,-28.45,-13.52,1.467,1.671,1.042,1.075,0.618,0.875,38.0,4.42,41.8,2.94,1.52,2.25,9.08,1,10.27,-0.48,7.06
MATIC,polygon,#8247e5,P,6.08,5.09,4.7,4.7,6.07,5.92,6.32,6.38,5.14,6.17,1.03,0,PoS chain validator rewards,layer2,4266898713.0,3836739832.0,3836739832.0,5039940978.0,18.12,2355.36,2612.34,2612.34,3107.88,10.91,18.97,92.92,107.38,444.8,414.73,-6.76,368261.0,13396660.0,1808378095.0,2836588.0,10.71,2.85,-37.47,-12.65,-0.499,1.616,1.705,0.591,0.816,0.491,56.1,15.07,113.02,2.44,1.089,-2.99,6.22,0,5.746,0.36,9.04
ADA,cardano,#0033ad,A,3.96,4.66,3.71,3.98,4.6,4.49,4.93,4.74,4.08,4.69,0.61,0,liquid stake pool delegation,layer1,12959690697.0,14203749190.0,14203749190.0,18923421821.0,46.02,405.03,378.2,378.2,488.24,-6.62,29.1,92.5,100.08,913.3,586.18,-35.82,3359347.0,46759290.0,8262819749.0,18385307.0,3.2,2.85,-55.4,-35.92,0.09,-0.253,0.549,1.477,0.333,0.548,42.7,15.78,-35.87,1.93,0.319,-1.05,4.65,0,4.686,0.87,3.62
XRP,xrp,#23292f,X,0.98,0.21,0.21,0.31,0.45,0.78,0.77,1.13,0.43,0.78,0.35,1,annualized from lending-market snapshots,payments,23216182189.0,29077555636.0,29077555636.0,28854657289.0,24.29,1559.08,1652.88,1652.88,1821.99,6.02,10.23,70.89,84.28,625.7,2074.37,231.53,1017695.0,46080627.0,1948474837.0,11350562.0,12.26,3.03,-52.74,-20.67,1.633,2.597,0.581,1.083,0.811,0.645,72.8,-8.58,95.1,1.55,0.563,0.38,1.0,0,0.925,0.24,7.34
AVAX,avalanche,#e84142,V,8.22,7.78,7.79,7.54,8.02,8.97,8.78,8.88,7.83,8.66,0.83,0,validator/delegator staking with fee burn,layer1,6443019806.0,7079597953.0,7079597953.0,9685943665.0,50.33,1247.5,1348.07,1348.07,1475.25,8.06,9.43,63.92,39.61,642.11,1196.92,86.4,4089954.0,42408710.0,1440022077.0,19119804.0,12.94,3.91,-35.4,-48.03,2.048,1.912,1.746,0.887,0.402,0.67,53.6,6.54,-22.45,2.59,0.889,2.38,8.31,0,21.863,0.74,6.31
DOT,polkadot,#e6007a,D,9.47,10.37,9.46,9.81,10.89,10.62,10.67,10.97,9.78,10.79,1.01,0,nominated PoS post-supply-cap reform,layer1,5533761981.0,4984413639.0,4984413639.0,5274644242.0,-4.68,2864.65,2586.11,2586.11,3525.93,-9.72,36.34,80.55,87.79,213.32,537.55,151.99,2557802.0,13911625.0,3752130935.0,6529687.0,3.35,2.17,-18.14,-30.94,2.194,2.263,0.98,0.517,0.363,0.363,31.2,12.43,52.24,3.3,0.376,5.14,11.99,1,12.291,0.2,10.13
ATOM,cosmos,#2e3148,C,16.05,15.94,15.07,14.75,15.58,15.67,15.75,16.78,15.45,15.95,0.5,0,high headline yield with dynamic inflation,layer1,2674743961.0,2696227142.0,2696227142.0,2775446978.0,3.76,1388.28,1926.19,1926.19,2906.24,38.75,50.88,76.19,98.9,235.75,388.8,64.92,1975784.0,47358475.0,848531578.0,14972351.0,5.42,1.11,-49.77,-25.32,2.375,2.339,0.571,1.345,0.507,0.865,52.1,-1.3,49.74,2.61,-0.219,3.05,15.06,0,16.127,0.75,10.87
SUI,sui,#4da2ff,U,6.1,5.2,5.75,5.33,6.3,5.9,5.82,5.95,5.59,5.99,0.4,0,delegated PoS with variable participation,layer1,4795786932.0,5648957039.0,5648957039.0,5181655561.0,8.05,1734.59,1758.15,1758.15,2000.91,1.36,13.81,49.36,63.68,201.21,187.98,-6.58,2737489.0,33111978.0,3601631647.0,13991291.0,4.75,2.15,-22.38,-13.07,0.33,1.28,0.769,0.846,0.914,0.688,67.0,7.12,64.03,3.38,0.785,-1.55,6.56,1,9.406,-0.61,6.01
