symbol,name,blockchain,contract_address,contract_type
AAVE,Aave,Ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,ERC-20
ADA,Cardano,Cardano,native_coin,native
ALGO,Algorand,Algorand,native_coin,native
APT,Aptos,Aptos,0x1::aptos_coin::AptosCoin,native
ARB,Arbitrum,Ethereum,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,ERC-20
ATOM,Cosmos,Cosmos,native_coin,native
AVAX,Avalanche,Avalanche,native_coin,native
BAL,Balancer,Ethereum,0xba100000625a3754423978a60c9317c58a424e3D,ERC-20
BTC,Bitcoin,Bitcoin,native_coin,native
CELO,Celo,Celo,native_coin,native
COMP,Compound,Ethereum,0xc00e94Cb662C3520282E6f5717214004A7f26888,ERC-20
CRO,Cronos,Cronos,native_coin,native
CRV,Curve DAO,Ethereum,0xD533a949740bb3306d119CC777fa900bA034cd52,ERC-20
DOT,Polkadot,Polkadot,native_coin,native
EIGEN,EigenLayer,Ethereum,0xec53bF9167f50cDEB3Ae105f56099aaaB9061F83,ERC-20
EOS,EOS,EOS,native_coin,native
ETH,Ethereum,Ethereum,native_coin,native
ETHFI,Ether.fi,Ethereum,0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB,ERC-20
FIL,Filecoin,Filecoin,native_coin,native
FLOW,Flow,Flow,native_coin,native
FTM,Fantom,Fantom,native_coin,native
GLMR,Moonbeam,Moonbeam,native_coin,native
GRT,The Graph,Ethereum,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,ERC-20
HYPE,Hyperliquid,Hyperliquid,native_coin,native
ICP,Internet Computer,ICP,native_coin,native
INJ,Injective,Injective,native_coin,native
JTO,Jito,Ethereum,0x7b7bB79E9E5e99919A24f6F3Cf1Ed9eD5Fff641c,ERC-20
KAVA,Kava,Kava,native_coin,native
LDO,Lido DAO,Ethereum,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,ERC-20
LINK,Chainlink,Ethereum,0x514910771AF9Ca656af840dff83E8264EcF986CA,ERC-20
LUNC,Terra Classic,Terra Classic,native_coin,native
MATIC,Polygon,Polygon,native_coin,native
MINA,Mina,Mina,native_coin,native
MKR,Maker,Ethereum,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,ERC-20
MNDE,Marinade,Solana,MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5eya,SPL
NEAR,NEAR Protocol,NEAR,native_coin,native
NEO,Neo,Neo,native_coin,native
ONDO,Ondo Finance,Ethereum,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,ERC-20
ONE,Harmony,Harmony,native_coin,native
OP,Optimism,Optimism,native_coin,native
PENDLE,Pendle,Ethereum,0x808507121B80c02388fAd14726482e061B8da827,ERC-20
RENDER,Render,Ethereum,0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24,ERC-20
ROSE,Oasis Network,Oasis,native_coin,native
RPL,Rocket Pool,Ethereum,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,ERC-20
SEI,Sei,Sei,native_coin,native
SNX,Synthetix,Ethereum,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,ERC-20
SOL,Solana,Solana,native_coin,native
SUI,Sui,Sui,0x2::sui::SUI,native
TAO,Bittensor,Bittensor,native_coin,native
THETA,Theta Network,Theta,native_coin,native
TIA,Celestia,Celestia,native_coin,native
TRX,TRON,TRON,native_coin,native
UNI,Uniswap,Ethereum,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,ERC-20
VET,VeChain,VeChain,native_coin,native
WLD,Worldcoin,Ethereum,0x163f8C2467924be0ae7B5347228CABF260318753,ERC-20
XLM,Stellar,Stellar,native_coin,native
XRP,XRP Ledger,XRPL,native_coin,native
XTZ,Tezos,Tezos,native_coin,native
YFI,Yearn Finance,Ethereum,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,ERC-20
