symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row,yield_momentum,mcap_to_tvl,risk_score,yield_premium,snapshot_source_file,snapshot_symbol,snapshot_status,snapshot_regular_market_time,snapshot_market_cap_usd,snapshot_price_usd,snapshot_change_pct,snapshot_volume_usd,snapshot_average_volume_usd,snapshot_52w_high_usd,snapshot_52w_low_usd,snapshot_circulating_supply,snapshot_website,snapshot_exchange,quote_status,quote_source_file,quote_symbol,quote_as_of_epoch,quote_as_of_iso,quote_fields_present,quote_completeness_pct,quote_file,quote_join_policy,catalog_row_policy,catalog_generated
AAVE,aave,#b6509e,V,3.5,2.76,3.36,3.23,3.32,3.7,3.88,4.05,3.21,3.74,0.53,0,safety module staking rewards,defi,1528277509.0,1532145793.0,1532145793.0,1800000000,17.78,81.68,78.23,78.23,120.0,-4.22,53.39,80.0,80.94,39.21,162.74,315.05,4678581.0,31784853.0,15150000000,15000000,0.0,1.07,-54.31,-16.29,1.512,2.15,1.312,1.26,0.554,0.589,54.4,-14.31,78.2,0.38,0.126,0.88,4.4,1,4.621,-0.06,35.33,yield_data.csv,15,0.04788,0.1188118812,49.39222326,2.86,,,canonical_only,,,,,,,,,,,,unavailable,,AAVE-USD,,,0,0,csv/quotes/AAVE.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ADA,cardano,#0033ad,A,3.3,3.6,3.7,3.87,3.71,3.81,3.68,3.88,3.62,3.77,0.15,0,"liquid stake pool delegation, no lock-up",layer1,5413879266.0,7372169748.0,7372169748.0,7468247552,37.95,0.1698,0.1945,0.1945,0.204,14.55,4.88,65.0,69.3,128.67,253.54,97.05,22108073.0,143164225.0,450000000,36509016064,2.0,1.23,-54.21,-36.01,2.492,2.554,1.025,1.077,0.834,0.83,66.6,-6.23,9.44,0.17,0.055,3.46,3.98,1,5.44,0.35,30.55,yield_data.csv,6,0.00935,16.59610567,27.81225529,0.31,csv/table-1786043396050.csv,ADA-USD,source_snapshot,1786043304,7468247552,0.20435,7.9389377,693376896,418113160,1.016464,0.138695,36509016064,https://www.cardano.org,CCC,source_snapshot,csv/table-1786043396050.csv,ADA-USD,1786043304,2026-08-06T19:08:24Z,83,98.8,csv/quotes/ADA.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ALGO,algorand,#00a4d8,G,3.47,3.06,3.22,3.07,3.63,3.62,3.54,3.74,3.21,3.63,0.42,0,governance participation rewards,layer1,1206796029.0,1389408764.0,1389408764.0,1500000000,24.3,0.1208,0.1459,0.1459,0.18,20.78,23.37,65.0,63.8,78.41,97.52,24.37,4459849.0,14562683.0,120000000,8330000000,3.0,1.2,-16.96,-50.96,1.862,2.555,1.115,0.959,0.716,0.682,39.6,3.46,-7.92,0.25,0.072,0.45,4.1,1,5.69,0.88,34.41,yield_data.csv,26,0.018,12.5,27.84227006,3.18,,,canonical_only,,,,,,,,,,,,unavailable,,ALGO-USD,,,0,0,csv/quotes/ALGO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
APT,aptos,#1d4ed8,T,6.39,6.64,6.36,6.23,6.91,7.14,7.52,7.4,6.41,7.24,0.83,0,Move-based PoS with deflationary tokenomics,layer1,3679816398.0,3874789950.0,3874789950.0,5500000000,49.46,2.12,1.83,1.83,3.85,-13.68,110.38,65.0,60.65,169.73,205.83,21.27,8843924.0,103895737.0,300000000,1428000000,4.5,0.7,-41.97,-44.38,6.785,8.64,1.166,1.219,0.84,0.768,40.6,8.49,50.54,0.46,0.173,-0.46,7.99,1,11.937,1.31,100,yield_data.csv,12,0.07958,18.33333333,8.18494213,7.7,,,canonical_only,,,,,,,,,,,,unavailable,,APT-USD,,,0,0,csv/quotes/APT.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ARB,arbitrum,#28a0f0,R,2.43,2.74,2.41,2.22,2.75,2.82,2.66,2.86,2.45,2.77,0.32,0,sequencer revenue share staking,layer2,4403816030.0,4809058417.0,4809058417.0,5500000000,24.89,0.91,1.02,1.02,1.15,12.09,12.75,75.0,67.02,245.5,192.03,-21.78,26744493.0,61984278.0,1540000000,4780000000,2.5,2.09,-24.91,-25.86,0.6,1.149,1.237,1.2,0.407,0.665,57.0,-4.84,41.5,0.22,0.052,4.38,3.29,1,4.133,-0.45,27.81,yield_data.csv,17,0.01144,3.571428571,72.15295039,-1.61,,,canonical_only,,,,,,,,,,,,unavailable,,ARB-USD,,,0,0,csv/quotes/ARB.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ATOM,cosmos,#2e3148,C,14.88,16.44,14.91,14.98,15.17,14.92,15.7,16.72,15.3,15.63,0.33,0,high headline yield with 10-14% inflation,layer1,558600870.0,641674290.0,641674290.0,713380288,27.71,0.69,0.63,0.63,1.36,-8.7,115.87,78.0,66.84,12.85,52.29,306.93,2071358.0,13360622.0,250000000,523250432,12.0,1.88,-60.05,-39.07,17.051,20.392,1.196,1.237,0.831,0.723,38.6,0.82,77.49,0.69,0.112,4.03,17.4,1,23.384,-0.46,100,yield_data.csv,10,0.07728,2.853521152,3.920196155,11.6,csv/table-1786043423210.csv,ATOM-USD,source_snapshot,1786043351,713380288,1.363,1.1127585,21765084,38454963,4.960639,1.215123,523250432,https://cosmos.network/,CCC,source_snapshot,csv/table-1786043423210.csv,ATOM-USD,1786043351,2026-08-06T19:09:11Z,83,98.8,csv/quotes/ATOM.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
AVAX,avalanche,#e84142,V,6.81,7.55,7.78,6.73,7.4,7.76,7.63,8.16,7.22,7.74,0.52,0,validator/delegator staking with fee burn,layer1,1665190451.0,2342298243.0,2342298243.0,2784053760,67.19,4.11,4.54,4.54,6.45,10.46,42.07,65.0,63.32,33.49,113.92,240.16,4880799.0,14873889.0,1200000000,431771968,5.5,1.66,-37.81,-43.95,8.031,9.065,1.125,1.114,0.681,0.761,34.8,15.85,55.61,0.46,0.125,3.53,9.04,1,12.224,0.67,100,yield_data.csv,8,0.0575,2.3200448,7.858246001,4.21,csv/table-1786043409882.csv,AVAX-USD,source_snapshot,1786043347,2784053760,6.452,-3.1085718,268345520,267021717,35.91024,5.693566,431771968,https://avax.network/,CCC,source_snapshot,csv/table-1786043409882.csv,AVAX-USD,1786043347,2026-08-06T19:09:07Z,83,98.8,csv/quotes/AVAX.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
BAL,balancer,#1e8e3e,B,2.42,2.3,2.42,2.58,2.78,2.5,2.72,2.81,2.43,2.7,0.27,0,veBAL liquidity mining,defi,180323742.0,220650669.0,220650669.0,280000000,55.28,1.46,2.05,2.05,1.85,40.41,-9.76,96.0,105.4,7.26,20.33,180.03,19720.0,1917069.0,90000000,151000000,3.0,0.64,-56.24,-84.05,0.448,0.664,1.306,1.27,0.576,0.565,52.5,-12.13,39.37,0.18,0.063,4.12,2.9,1,2.562,0.51,12.98,yield_data.csv,57,0.01134,3.111111111,207.3078313,-1.42,,,canonical_only,,,,,,,,,,,,unavailable,,BAL-USD,,,0,0,csv/quotes/BAL.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
BTC,bitcoin,#f7931a,B,1.15,1.3,1.3,1.44,1.31,1.47,1.69,1.8,1.3,1.57,0.27,0,lending-market equivalent via Babylon protocol,store_of_value,1013951153867.0,1245828472529.0,1245828472529.0,1291637751808,27.39,48661.72,63789.15,63789.15,64393.88,31.09,0.95,49.05,42.0,53864.99,45716.74,-15.13,3991562597.0,2975490629.0,7000000000,20066624,0.8,1.05,-28.14,-53.06,-1.427,-1.024,0.944,0.996,0.886,0.742,40.1,24.1,71.52,0.2,0.082,3.44,1.92,1,3.738,-0.0,0,yield_data.csv,2,0.0164,184.5196788,-38.71875,-1.87,csv/table-1786043374524.csv,BTC-USD,source_snapshot,1786043306,1291637751808,64393.88,-0.6185106,19665172480,29203941257,126198.07,57747.766,20066624,https://bitcoin.org/,CCC,source_snapshot,csv/table-1786043374524.csv,BTC-USD,1786043306,2026-08-06T19:08:26Z,82,97.6,csv/quotes/BTC.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
CELO,celo,#fbcc5c,C,4.81,4.27,5.02,4.54,5.15,5.03,5.33,5.19,4.66,5.18,0.52,0,proof-of-stake with stability mechanism,payments,348279702.0,400100934.0,400100934.0,420000000,20.59,0.3038,0.3748,0.3748,0.55,23.37,46.74,66.0,75.61,8.96,20.48,128.57,122506.0,3831428.0,55000000,764000000,5.0,1.31,-41.76,-54.45,4.03,4.206,0.932,0.97,0.635,0.536,61.2,15.83,11.57,0.33,0.102,-0.84,5.86,1,6.851,0.23,48.55,yield_data.csv,39,0.03366,7.636363636,16.75428436,6.02,,,canonical_only,,,,,,,,,,,,unavailable,,CELO-USD,,,0,0,csv/quotes/CELO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
