symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row
BTC,bitcoin,#f7931a,B,1.15,1.3,1.3,1.44,1.31,1.47,1.69,1.8,1.3,1.57,0.27,0,lending-market equivalent via Babylon protocol,store_of_value,1013951153867.0,1245828472529.0,1245828472529.0,1291637751808,27.39,48661.72,63789.15,63789.15,64393.88,31.09,0.95,49.05,42.0,53864.99,45716.74,-15.13,3991562597.0,2975490629.0,7000000000,20066624,0.8,1.05,-28.14,-53.06,-1.427,-1.024,0.944,0.996,0.886,0.742,40.1,24.1,71.52,0.2,0.082,3.44,1.92,1,3.738,-0.0,0,yield_data.csv,2
ETH,ethereum,#627eea,E,3.41,3.53,3.38,3.48,3.76,3.82,3.89,3.8,3.45,3.82,0.37,0,native validator staking with MEV,layer1,175516037820.0,196248929362.0,196248929362.0,229956157440,31.02,1235.4,1345.68,1345.68,1907.14,8.93,41.72,75.06,65.44,8319.39,5725.47,-31.18,587877353.0,3455762997.0,44840000000,120682144,0.5,2.5,-63.24,-67.61,1.932,2.781,1.078,1.052,0.832,0.76,50.7,-18.86,-13.06,0.19,0.073,-1.97,3.43,0,5.837,-0.19,38.54,yield_data.csv,3
SOL,solana,#14f195,S,6.35,6.87,6.72,6.73,6.69,7.25,7.19,7.2,6.67,7.08,0.41,0,delegated PoS with MEV-enhanced liquid staking,layer1,29224251417.0,42599572147.0,42599572147.0,42303602688,44.76,61.51,72.42,72.42,72.75,17.74,0.46,55.25,56.24,1710.61,1740.72,1.76,169595986.0,426750380.0,5780000000,581421568,5.0,2.2,-46.39,-26.67,8.452,9.033,1.088,1.013,0.608,0.801,53.9,0.62,22.75,0.3,0.108,0.92,8.45,1,12.589,0.52,98.16,yield_data.csv,4
MATIC,polygon,#8247e5,P,5.01,5.39,5.37,5.07,5.45,5.51,5.21,5.81,5.21,5.5,0.29,0,PoS chain validator rewards post-migration,layer2,2028292690.0,2664365032.0,2664365032.0,3500000000,72.56,0.2712,0.3143,0.3143,0.35,15.89,11.36,75.0,73.94,157.68,340.26,115.79,14770269.0,33722536.0,800000000,10000000000,3.5,1.0,-21.96,-27.27,4.28,4.734,1.25,1.099,0.624,0.573,48.0,-19.37,-39.97,0.24,0.065,1.65,6.58,1,7.438,0.67,58.95,yield_data.csv,5
ADA,cardano,#0033ad,A,3.3,3.6,3.7,3.87,3.71,3.81,3.68,3.88,3.62,3.77,0.15,0,"liquid stake pool delegation, no lock-up",layer1,5413879266.0,7372169748.0,7372169748.0,7468247552,37.95,0.1698,0.1945,0.1945,0.204,14.55,4.88,65.0,69.3,128.67,253.54,97.05,22108073.0,143164225.0,450000000,36509016064,2.0,1.23,-54.21,-36.01,2.492,2.554,1.025,1.077,0.834,0.83,66.6,-6.23,9.44,0.17,0.055,3.46,3.98,1,5.44,0.35,30.55,yield_data.csv,6
XRP,xrp,#23292f,X,0.54,0.76,0.52,0.61,0.74,0.94,0.92,1.13,0.61,0.93,0.32,1,annualized from lending-market snapshots,payments,41922462098.0,45368615616.0,45368615616.0,64662425600,54.24,0.63,0.58,0.58,1.03,-7.94,77.59,46.75,53.04,2186.47,5394.13,146.7,52490267.0,675095977.0,200000000,62533271552,0.0,1.6,-25.2,-21.91,-2.973,-2.017,0.979,1.031,0.421,0.57,37.8,21.47,-34.57,0.2,0.075,1.36,1.08,0,1.753,0.14,0,yield_data.csv,7
AVAX,avalanche,#e84142,V,6.81,7.55,7.78,6.73,7.4,7.76,7.63,8.16,7.22,7.74,0.52,0,validator/delegator staking with fee burn,layer1,1665190451.0,2342298243.0,2342298243.0,2784053760,67.19,4.11,4.54,4.54,6.45,10.46,42.07,65.0,63.32,33.49,113.92,240.16,4880799.0,14873889.0,1200000000,431771968,5.5,1.66,-37.81,-43.95,8.031,9.065,1.125,1.114,0.681,0.761,34.8,15.85,55.61,0.46,0.125,3.53,9.04,1,12.224,0.67,100,yield_data.csv,8
DOT,polkadot,#e6007a,D,11.91,11.35,10.78,11.68,11.68,11.51,12.1,11.24,11.43,11.63,0.2,0,nominated PoS with nomination pools,layer1,833538909.0,1031255611.0,1031255611.0,1396147712,67.5,0.5743,0.6737,0.6737,0.82,17.31,21.72,65.0,57.39,51.3,86.9,69.4,3995503.0,6097337.0,600000000,1696793600,7.5,1.24,-29.02,-21.22,14.508,16.78,1.167,1.027,0.666,0.87,36.9,10.8,51.09,0.39,0.015,2.78,10.97,0,20.265,-0.25,100,yield_data.csv,9
ATOM,cosmos,#2e3148,C,14.88,16.44,14.91,14.98,15.17,14.92,15.7,16.72,15.3,15.63,0.33,0,high headline yield with 10-14% inflation,layer1,558600870.0,641674290.0,641674290.0,713380288,27.71,0.69,0.63,0.63,1.36,-8.7,115.87,78.0,66.84,12.85,52.29,306.93,2071358.0,13360622.0,250000000,523250432,12.0,1.88,-60.05,-39.07,17.051,20.392,1.196,1.237,0.831,0.723,38.6,0.82,77.49,0.69,0.112,4.03,17.4,1,23.384,-0.46,100,yield_data.csv,10
SUI,sui,#4da2ff,U,5.51,4.55,5.55,4.49,5.15,4.91,4.54,5.46,5.03,5.02,-0.01,0,delegated PoS with variable participation,layer1,4776500317.0,7045197235.0,7045197235.0,7500000000,57.02,1.91,1.76,1.76,2.45,-7.85,39.2,65.0,70.22,170.65,688.14,303.25,20502573.0,51865713.0,634570000,3060000000,3.5,3.27,-40.55,-46.14,4.662,4.301,1.034,1.071,0.63,0.679,44.2,9.16,38.7,0.43,-0.02,-2.77,5.4,0,7.149,-0.04,52.94,yield_data.csv,11
